,School,School website,Number of positions,Position detail link,Post date,Position,Specialization,Deadline
0,University of Wisconsin-La Crosse,https://www.uwlax.edu,1 ,http://www.asc41.com/dir3/ads/uwlax0718.pdf,7/1/18 - 10/1/18,Assistant Professor of Sociology and Criminal Justice,Criminal Justice,"Application review begins October 1st, 2018 and will continue until position is filled"
1,The University of Delaware,http://www.udel.edu,1 ,http://www.asc41.com/dir3/ads/udel0918.pdf,9/18/18 - 10/18/18,"Open Rank Faculty, Health Policy School of Public Policy and Administration (SPPA)",Public Policy,Open until filled
2,Concordia University Chicago,http://cuchicago.edu,1 ,http://www.asc41.com/dir3/ads/cuchicago0918.pdf,9/18/18 - 10/18/18,Assistant Professor of Sociology,Criminal Justice,Open until filled
3,Western Carolina University,http://jobs.wcu.edu/applicants/Central?quickFind=53979,1 ,http://www.asc41.com/dir3/ads/wcu0918.pdf,9/18/18 - 11/18/18,Assistant Professor Criminology & Criminal Justice,"Juvenile delinquency, corrections, comparative criminal justice systems",Open until filled
4,Penn State New Kensington,https://newkensington.psu.edu/,1 ,http://www.asc41.com/dir3/ads/newkensington0918.pdf,9/18/18 - 10/18/18,Assistant Professor of Administration of Justice,Administration of Justice,Open until filled
5,University at Buffalo Department of Sociology,https://www.ubjobs.buffalo.edu/postings/16427,1 ,http://www.asc41.com/dir3/ads/buffalo0918.pdf,9/18/18 - 10/18/18,Assistant Professor,Criminology; Deviance; Criminal Justice; Law,"October 15, 2018"
6,"Georgia Southern University, Department of Criminal Justice and Criminology",http://cbss.georgiasouthern.edu/justice/,2 ,http://www.asc41.com/dir3/ads/georgiasouthern0918.pdf,9/17/18 - 10/17/18,Assistant Professor of Criminal Justice & Criminology,"Policing, Homeland Security/Terrorism, Hate Crimes, Race, Gender, or Research Methods/Statistics","October 12, 2018"
7,Kansas State University,http://www.k-state.edu,1 ,http://www.asc41.com/dir3/ads/ksu0918.pdf,9/17/18 - 12/17/18,Assistant Professor of Sociology specializing in Criminology - Tenure Track,"Open. Priority given to candidates who take a critical approach to crime, CJ systems, and/or social control.","November 30, 2018. Applications received after this date may be considered until the position is filled."
8,Saint Anselm College,http://anselm.edu,1 ,http://www.asc41.com/dir3/ads/anselm0918.pdf,9/14/18 - 10/14/18,Assistant Professor - Tenure Track,"Research Methods, Statistics, Cyber-Criminology, Theories of Crime, Technology & the Criminal Justice System, Race & Justice","October 20, 2018"
9,Stockton University,https://www.stockton.edu/,2 ,http://www.asc41.com/dir3/ads/stockton0918.pdf,9/14/18 - 10/14/18,"Assistant Professors of Criminal Justice, Tenure Track faculty positions (starting September 1, 2019)",Forensics and Victimology,Open until filled
10,Utica College,http://uc.peopleadmin.com/postings/2279,1 ,http://www.asc41.com/dir3/ads/uticaAP0918.pdf,9/12/18 - 10/12/18,Assistant/Associate Professor of Cybersecurity,"Teach courses in cybersecurity, information security, cybercrime investigation, computer hardware, computer programming, and related topics",Open until filled
11,Utica College,http://uc.peopleadmin.com/postings/2275,1 ,http://www.asc41.com/dir3/ads/uticaPOP0918.pdf,9/12/18 - 10/12/18,Professor of Practice - Cybersecurity,A Master’s degree and industry certifications in computer forensics is required and professional work experience is strongly preferred,Open until filled
12,The Pew Charitable Trusts,https://www.pewtrusts.org/en,1 ,http://www.asc41.com/dir3/ads/pew0918.pdf,9/12/18 - 10/12/18,"Senior Associate, National Partners, Public Safety Performance Project",A bachelor's degree is required; advanced degree in public policy or other relevant field strongly preferred,"October 11, 2018"
13,Case Western Reserve University / Begun Center for Violence Prevention Research and Education,http://begun.case.edu,1 ,http://www.asc41.com/dir3/ads/begun0918.pdf,9/12/18 - 11/12/18,Post-Doctoral Fellowship in Trauma and Violence Prevention,"Criminology, crime, behavioral health, violence prevention, law enforcement, trauma, psychology, sociology, women's and gender studies",Open until filled
14,University of West Florida,http://www.Click2Apply.net/yvdbbd2gntdkm47h,1 ,http://www.asc41.com/dir3/ads/uwf0918.pdf,9/12/18 - 10/12/18,Assistant Professor of Criminology and Criminal Justice,Criminology and Criminal Justice,"October 15, 2018"
15,University of West Georgia,https://www.westga.edu/,3 ,http://www.asc41.com/dir3/ads/westga0918.pdf,9/12/18 - 10/12/18,Assistant Professor,Open,"October 15, 2018"
16,University of West Georgia,https://www.westga.edu/,1 ,http://www.asc41.com/dir3/ads/westgaLecturer0918.pdf,9/12/18 - 10/12/18,Lecturer,Open,"October 15, 2018"
17,University of Southern Maine,http://www.usm.maine.edu,1 ,http://www.asc41.com/dir3/ads/maine0918.pdf,9/11/18 - 10/11/18,Assistant Professor of Criminology,Open,"October 1, 2018"
18,"California State University, San Bernardino",https://www.governmentjobs.com/careers/csusb/jobs/2199841,1 ,http://www.asc41.com/dir3/ads/csusb0918.pdf,9/11/18 - 10/11/18,"Assistant Professor Tenure Track, Criminal Justice",Criminal Justice,"October 15, 2018 or until position is filled"
19,UAA Justice Center,https://www.uaa.alaska.edu/academics/college-of-health/departments/justice-center/,1 ,http://www.asc41.com/dir3/ads/alaska0918.pdf,9/10/18 - 10/10/18,Research Professional 3,Criminal Justice Research,"October 10, 2018"
20,Rutgers University-Camden Campus,http://sociology.camden.rutgers.edu,1 ,http://www.asc41.com/dir3/ads/rutgers0918.pdf,9/10/18 - 10/10/18,Assistant Professor of Criminal Justice,Research areas of specialization are open. Candidates who can teach courses in policing and minorities and justice are preferred.,"October 31, 2018"
21,University Of Texas At El Paso,https://www.utep.edu/liberalarts/criminal-justice/,1 ,http://www.asc41.com/dir3/ads/utep0918.pdf,9/10/18 - 11/10/18,Assistant Professor,"Open research specialization areas; Teaching preference areas include CJ systems, organization/management and/or comparative.","Application review begins October 8, 2018, and continues until the position is filled"
22,San Francisco State University,http://www.sfsu.edu/,1 ,http://www.asc41.com/dir3/ads/sfsu0918.pdf,9/7/18 - 10/7/18,Tenure-Track Assistant Professor - Criminal Justice Studies,Criminal Justice Studies,"Application review begins October 1, 2018, and continues until filled"
23,Bridgewater State University,http://www.bridgew.edu/,1 ,http://www.asc41.com/dir3/ads/bridgew-CAJPC0918.pdf,9/7/18 - 10/7/18,"Assistant Professor, Dept. of Criminal Justice - Critical Analysis of Judicial Process and the Courts","Critical analysis of judicial process and the courts, including the implications of racial, ethnicity, class and gender biases.","October 1, 2018"
24,Bridgewater State University,http://www.bridgew.edu/,1 ,http://www.asc41.com/dir3/ads/bridgew0918.pdf,9/7/18 - 10/7/18,"Assistant Professor, Dept. of Criminal Justice - Open Specialization","Criminal Justice, Justice Studies, Criminology","October 1, 2018"
25,Montana State University - Department of Sociology & Anthropology,http://socanth.msu.montana.edu/,1 ,http://www.asc41.com/dir3/ads/montana0918.pdf,9/7/18 - 10/7/18,Assistant Professor,"Law & Society, Criminology, and/or Criminal Justice","October 1, 2018"
